,W,Reject null hypothesis
Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces ,326,True
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Filifactor ,325,True
Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema ,325,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella intermedia,323,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas endodontalis,321,True
Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema amylovorum,320,True
Bacteria Synergistetes Synergistia Synergistales Dethiosulfovibrionaceae TG5 ,319,True
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma ,318,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Tannerella ,315,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas ,313,True
Bacteria Actinobacteria Actinobacteria Actinomycetales Corynebacteriaceae Corynebacterium durum,309,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales   ,306,True
Bacteria Firmicutes Clostridia Clostridiales [Mogibacteriaceae]  ,305,True
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter ,305,True
Bacteria Firmicutes Clostridia Clostridiales [Acidaminobacteraceae]  ,304,True
