,W,Reject null hypothesis
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Filifactor ,229,True
Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema ,229,True
Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema amylovorum,227,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella intermedia,226,True
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma ,226,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas endodontalis,226,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Tannerella ,226,True
Bacteria Synergistetes Synergistia Synergistales Dethiosulfovibrionaceae TG5 ,226,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas ,224,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales   ,220,True
Bacteria Firmicutes Clostridia Clostridiales [Mogibacteriaceae]  ,211,True
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Peptostreptococcus ,209,True
Bacteria Proteobacteria Deltaproteobacteria Desulfobacterales Desulfobulbaceae Desulfobulbus ,207,True
Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema socranskii,201,True
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter ,199,True
Bacteria Firmicutes Clostridia Clostridiales [Acidaminobacteraceae]  ,199,True
Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Haemophilus parainfluenzae,196,True
Bacteria Firmicutes Clostridia Clostridiales [Tissierellaceae] Parvimonas ,195,True
Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Neisseria subflava,194,True
Bacteria Firmicutes Clostridia Clostridiales [Mogibacteriaceae] Mogibacterium ,187,True
Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces ,187,True
Bacteria Firmicutes Clostridia Clostridiales [Tissierellaceae]  ,186,True
Bacteria Actinobacteria Actinobacteria Actinomycetales   ,185,True
Bacteria Firmicutes Clostridia Clostridiales   ,184,True
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Oribacterium ,180,True
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae  ,179,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella nanceiensis,173,True
