,W,Reject null hypothesis
Bacteria Bacteroidota Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas Porphyromonas_gingivalis,413,True
Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Peptostreptococcaceae Filifactor Filifactor_alocis,412,True
Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema Treponema_denticola,411,True
Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae Prevotella Prevotella_intermedia,410,True
Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema Treponema_medium,410,True
Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema uncultured_bacterium,409,True
Bacteria Synergistota Synergistia Synergistales Synergistaceae Fretibacterium ,407,True
Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema ,406,True
Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae [Eubacterium]_nodatum_group [Eubacterium]_nodatum,406,True
Bacteria Bacteroidota Bacteroidia Bacteroidales Tannerellaceae Tannerella Tannerella_forsythia,405,True
Bacteria Firmicutes Bacilli Mycoplasmatales Mycoplasmataceae Mycoplasma Metamycoplasma_faucium,402,True
Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae  ,400,True
Bacteria Firmicutes Clostridia Lachnospirales Defluviitaleaceae Defluviitaleaceae_UCG-011 Lachnospiraceae_bacterium,391,True
Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae [Eubacterium]_saphenum_group Eubacterium_saphenum,385,True
Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema Treponema_maltophilum,384,True
Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae [Eubacterium]_brachy_group ,382,True
Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae Prevotella Prevotella_dentalis,381,True
Bacteria Desulfobacterota Desulfobulbia Desulfobulbales Desulfobulbaceae Desulfobulbus ,375,True
Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus Streptococcus_constellatus,375,True
Bacteria Bacteroidota Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas Porphyromonas_endodontalis,374,True
