Order,Taxonomy Classification,Importances
0,Bacteria Actinobacteriota Actinobacteria Actinomycetales Actinomycetaceae Actinomyces,0.11690547055081804
1,Bacteria Bacteroidota Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas Porphyromonas gingivalis,0.11085760166071587
2,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema Treponema denticola,0.09934825764896191
3,Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae Prevotella Prevotella intermedia,0.09118972601091217
4,Bacteria Actinobacteriota Actinobacteria Actinomycetales Actinomycetaceae Actinomyces Schaalia odontolytica,0.06506974355992037
5,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Peptostreptococcaceae Filifactor Filifactor alocis,0.06099767811377263
6,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Oribacterium,0.04452746290372327
7,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Eubacterium nodatum group Eubacterium nodatum,0.0434222896929853
8,Bacteria Bacteroidota Bacteroidia Bacteroidales Tannerellaceae Tannerella Tannerella forsythia,0.042683788290101346
9,Bacteria Bacteroidota Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas,0.03711935156262676
10,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema uncultured bacterium,0.031245445192002997
11,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema Treponema maltophilum,0.03105874374981756
12,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema Treponema medium,0.030139675448526946
13,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Eubacterium saphenum group Eubacterium saphenum,0.024566473962687116
14,Bacteria Campilobacterota Campylobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter showae,0.024305985196832625
15,Bacteria Actinobacteriota Actinobacteria Actinomycetales Actinomycetaceae Actinomyces Actinomyces graevenitzii,0.024255370726892468
16,Bacteria Actinobacteriota Actinobacteria Corynebacteriales Corynebacteriaceae Corynebacterium Corynebacterium durum,0.024240150146592164
17,Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae,0.02412256170468769
18,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Eubacterium brachy group Eubacterium brachy,0.0203959501090319
19,Bacteria Firmicutes Bacilli Mycoplasmatales Mycoplasmataceae Mycoplasma Metamycoplasma faucium,0.018251402344480718
20,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Treponema,0.013340627154948506
21,Bacteria Synergistota Synergistia Synergistales Synergistaceae Fretibacterium,0.011478324853494261
22,Bacteria Firmicutes Clostridia Lachnospirales Defluviitaleaceae Defluviitaleaceae UCG-011 Lachnospiraceae bacterium,0.010477919415467385
