Order,Taxonomy Classification,Importances
0,Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces,0.3999280021145238
1,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Filifactor,0.1890103429588086
2,Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella intermedia,0.06367125981932184
3,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas,0.05505930434600667
4,Bacteria Firmicutes Clostridia Clostridiales Mogibacteriaceae,0.03966748342551256
5,Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema,0.03879803384567988
6,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas endodontalis,0.03654507572689172
7,Bacteria Actinobacteria Actinobacteria Actinomycetales Corynebacteriaceae Corynebacterium durum,0.03425598828122936
8,Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema amylovorum,0.030860715060496653
9,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Tannerella,0.028993208890019755
10,Bacteria Synergistetes Synergistia Synergistales Dethiosulfovibrionaceae TG5,0.025636127922185156
11,Bacteria Bacteroidetes Bacteroidia Bacteroidales,0.021722399829793123
12,Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter,0.018306732706991815
13,Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma,0.010590585750377204
14,Bacteria Firmicutes Clostridia Clostridiales Acidaminobacteraceae,0.006954739322161872
