Order,Taxonomy Classification,Importances
0,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas gingivalis,0.4144686252638225
1,Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces,0.08873724892929263
2,Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae,0.05872096059326508
3,Bacteria Firmicutes Negativicutes Veillonellales Veillonellaceae Veillonella denticariosi,0.0549195919147654
4,Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae XIV Oribacterium sinus,0.04875410567003475
5,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae XI Peptostreptococcus anaerobius,0.03859001648845735
6,Bacteria Spirochaetes Spirochaetia Spirochaetales Spirochaetaceae Treponema,0.03343455221088604
7,Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella nanceiensis,0.029135391759886588
8,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas sp. HMT 285,0.02341829862659222
9,Bacteria Firmicutes Clostridia Clostridiales Peptoniphilaceae Parvimonas sp. HMT 393,0.022358291951558314
10,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae XI Peptostreptococcaceae XIG-6 nodatum,0.019543904306518294
11,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae XI Filifactor alocis,0.018425404323942896
12,Bacteria Proteobacteria Deltaproteobacteria Desulfobacterales Desulfobulbaceae Desulfobulbus sp. HMT 041,0.018419168652741125
13,Bacteria Synergistetes Synergistia Synergistales Synergistaceae Fretibacterium,0.017107142536152323
14,Bacteria Firmicutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma,0.01487882742536733
15,Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae XIV Catonella sp. HMT 164,0.013850705225041114
16,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae XI Mogibacterium,0.01232424594626922
17,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae XI Peptostreptococcaceae XIG-9 brachy,0.01130947752210783
18,Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Tannerella forsythia,0.01096361242183682
19,Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae XIV Lachnospiraceae G-8 bacterium HMT 500,0.0103642993062346
20,Bacteria Bacteroidetes Bacteroidetes C-1 Bacteroidetes O-1 Bacteroidetes F-1 Bacteroidetes G-3,0.008213542625615187
21,Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella dentalis,0.007866054386698889
22,Bacteria Spirochaetes Spirochaetia Spirochaetales Spirochaetaceae Treponema sp. HMT 260,0.00602082301326922
23,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae XI Peptostreptococcaceae XIG-5 saphenum,0.005679967474816547
24,Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae XI Peptostreptococcaceae XIG-4 bacterium HMT 369,0.003860710789744734
25,Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae XIV Johnsonella sp. HMT 166,0.003213540498893907
26,Bacteria Firmicutes Clostridia Clostridiales Clostridiales F-1 Clostridiales F-1G-1 bacterium HMT 093,0.0027569916822530816
27,Bacteria Spirochaetes Spirochaetia Spirochaetales Spirochaetaceae Treponema sp. HMT 258,0.0026644984539360215
