Count,Metrics,Mean,STD,95% CI
1,F1_score,0.821,0.029,0.800-0.843
1,accuracy,0.732,0.043,0.700-0.764
1,balanced_accuracy,0.643,0.057,0.599-0.686
1,fall_out,0.536,0.086,0.471-0.601
1,false_discovery_rate,0.179,0.029,0.157-0.200
1,false_ommission_rate,0.536,0.086,0.471-0.601
1,miss_rate,0.179,0.029,0.157-0.200
1,negative_predictive_value,0.464,0.086,0.399-0.529
1,odds_ratio,4.784,3.187,2.381-7.187
1,precision,0.821,0.029,0.800-0.843
1,sensitivity,0.821,0.029,0.800-0.843
1,specificity,0.464,0.086,0.399-0.529
1,threat_score,0.698,0.042,0.666-0.730
2,F1_score,0.860,0.034,0.834-0.886
2,accuracy,0.790,0.051,0.752-0.828
2,balanced_accuracy,0.720,0.068,0.669-0.771
2,fall_out,0.420,0.102,0.343-0.497
2,false_discovery_rate,0.140,0.034,0.114-0.166
2,false_ommission_rate,0.420,0.102,0.343-0.497
2,miss_rate,0.140,0.034,0.114-0.166
2,negative_predictive_value,0.580,0.102,0.503-0.657
2,odds_ratio,11.246,7.311,5.734-16.759
2,precision,0.860,0.034,0.834-0.886
2,sensitivity,0.860,0.034,0.834-0.886
2,specificity,0.580,0.102,0.503-0.657
2,threat_score,0.756,0.052,0.717-0.795
3,F1_score,0.871,0.038,0.842-0.899
3,accuracy,0.806,0.057,0.763-0.849
3,balanced_accuracy,0.741,0.076,0.684-0.799
3,fall_out,0.388,0.115,0.302-0.474
3,false_discovery_rate,0.129,0.038,0.101-0.158
3,false_ommission_rate,0.388,0.115,0.302-0.474
3,miss_rate,0.129,0.038,0.101-0.158
3,negative_predictive_value,0.612,0.115,0.526-0.698
3,odds_ratio,19.740,25.996,0.138-39.342
3,precision,0.871,0.038,0.842-0.899
3,sensitivity,0.871,0.038,0.842-0.899
3,specificity,0.612,0.115,0.526-0.698
3,threat_score,0.773,0.061,0.727-0.819
4,F1_score,0.877,0.032,0.853-0.901
4,accuracy,0.816,0.048,0.780-0.852
4,balanced_accuracy,0.755,0.064,0.706-0.803
4,fall_out,0.368,0.096,0.296-0.440
4,false_discovery_rate,0.123,0.032,0.099-0.147
4,false_ommission_rate,0.368,0.096,0.296-0.440
4,miss_rate,0.123,0.032,0.099-0.147
4,negative_predictive_value,0.632,0.096,0.560-0.704
4,odds_ratio,15.844,9.253,8.866-22.821
4,precision,0.877,0.032,0.853-0.901
4,sensitivity,0.877,0.032,0.853-0.901
4,specificity,0.632,0.096,0.560-0.704
4,threat_score,0.783,0.050,0.745-0.820
5,F1_score,0.872,0.033,0.847-0.897
5,accuracy,0.808,0.050,0.770-0.846
5,balanced_accuracy,0.744,0.067,0.694-0.794
5,fall_out,0.384,0.100,0.309-0.459
