Count,Metrics,Mean,STD,95% CI
1,F1_score,0.713,0.152,0.599-0.827
1,accuracy,0.633,0.169,0.506-0.761
1,balanced_accuracy,0.591,0.222,0.424-0.758
1,fall_out,0.557,0.320,0.316-0.798
1,false_discovery_rate,0.290,0.192,0.145-0.435
1,false_ommission_rate,0.520,0.325,0.275-0.765
1,miss_rate,0.261,0.154,0.145-0.377
1,negative_predictive_value,0.480,0.325,0.235-0.725
1,odds_ratio,inf,nan,nan-nan
1,precision,0.710,0.192,0.565-0.855
1,sensitivity,0.739,0.154,0.623-0.855
1,specificity,0.443,0.320,0.202-0.684
1,threat_score,0.574,0.169,0.446-0.701
2,F1_score,0.796,0.112,0.712-0.881
2,accuracy,0.727,0.138,0.623-0.831
2,balanced_accuracy,0.703,0.157,0.584-0.821
2,fall_out,0.373,0.226,0.202-0.544
2,false_discovery_rate,0.180,0.140,0.074-0.286
2,false_ommission_rate,0.460,0.180,0.324-0.596
2,miss_rate,0.222,0.093,0.152-0.292
2,negative_predictive_value,0.540,0.180,0.404-0.676
2,odds_ratio,inf,nan,nan-nan
2,precision,0.820,0.140,0.714-0.926
2,sensitivity,0.778,0.093,0.708-0.848
2,specificity,0.627,0.226,0.456-0.798
2,threat_score,0.675,0.146,0.565-0.785
3,F1_score,0.810,0.107,0.729-0.891
3,accuracy,0.740,0.138,0.636-0.844
3,balanced_accuracy,0.743,0.175,0.611-0.875
3,fall_out,0.293,0.281,0.081-0.505
3,false_discovery_rate,0.150,0.150,0.037-0.263
3,false_ommission_rate,0.480,0.204,0.326-0.634
3,miss_rate,0.220,0.090,0.153-0.288
3,negative_predictive_value,0.520,0.204,0.366-0.674
3,odds_ratio,inf,nan,nan-nan
3,precision,0.850,0.150,0.737-0.963
3,sensitivity,0.780,0.090,0.712-0.847
3,specificity,0.707,0.281,0.495-0.919
3,threat_score,0.693,0.148,0.582-0.805
4,F1_score,0.812,0.104,0.734-0.891
4,accuracy,0.747,0.133,0.647-0.847
