Count,Metrics,Mean,STD,95% CI
1,sensitivity,0.772,0.088,0.706-0.838
1,specificity,0.772,0.088,0.706-0.838
1,precision,0.772,0.088,0.706-0.838
1,negative_predictive_value,0.772,0.088,0.706-0.838
1,miss_rate,0.228,0.088,0.162-0.294
1,fall_out,0.228,0.088,0.162-0.294
1,false_discovery_rate,0.228,0.088,0.162-0.294
1,false_ommission_rate,0.228,0.088,0.162-0.294
1,accuracy,0.772,0.088,0.706-0.838
1,F1_score,0.772,0.088,0.706-0.838
1,odds_ratio,20.870,18.486,6.930-34.809
1,balanced_accuracy,0.772,0.088,0.706-0.838
1,threat_score,0.637,0.114,0.551-0.723
2,sensitivity,0.900,0.082,0.838-0.962
2,specificity,0.900,0.082,0.838-0.962
2,precision,0.900,0.082,0.838-0.962
2,negative_predictive_value,0.900,0.082,0.838-0.962
2,miss_rate,0.100,0.082,0.038-0.162
2,fall_out,0.100,0.082,0.038-0.162
2,false_discovery_rate,0.100,0.082,0.038-0.162
2,false_ommission_rate,0.100,0.082,0.038-0.162
2,accuracy,0.900,0.082,0.838-0.962
2,F1_score,0.900,0.082,0.838-0.962
2,odds_ratio,278.661,246.319,92.923-464.398
2,balanced_accuracy,0.900,0.082,0.838-0.962
2,threat_score,0.827,0.122,0.735-0.919
3,sensitivity,0.928,0.064,0.880-0.976
3,specificity,0.928,0.064,0.880-0.976
3,precision,0.928,0.064,0.880-0.976
3,negative_predictive_value,0.928,0.064,0.880-0.976
3,miss_rate,0.072,0.064,0.024-0.120
3,fall_out,0.072,0.064,0.024-0.120
3,false_discovery_rate,0.072,0.064,0.024-0.120
3,false_ommission_rate,0.072,0.064,0.024-0.120
3,accuracy,0.928,0.064,0.880-0.976
3,F1_score,0.928,0.064,0.880-0.976
3,odds_ratio,inf,nan,nan-nan
3,balanced_accuracy,0.928,0.064,0.880-0.976
3,threat_score,0.872,0.107,0.791-0.953
4,sensitivity,0.920,0.069,0.868-0.972
4,specificity,0.920,0.069,0.868-0.972
4,precision,0.920,0.069,0.868-0.972
4,negative_predictive_value,0.920,0.069,0.868-0.972
4,miss_rate,0.080,0.069,0.028-0.132
4,fall_out,0.080,0.069,0.028-0.132
4,false_discovery_rate,0.080,0.069,0.028-0.132
4,false_ommission_rate,0.080,0.069,0.028-0.132
4,accuracy,0.920,0.069,0.868-0.972
4,F1_score,0.920,0.069,0.868-0.972
4,odds_ratio,inf,nan,nan-nan
4,balanced_accuracy,0.920,0.069,0.868-0.972
4,threat_score,0.859,0.112,0.775-0.943
5,sensitivity,0.916,0.061,0.870-0.962
5,specificity,0.916,0.061,0.870-0.962
5,precision,0.916,0.061,0.870-0.962
5,negative_predictive_value,0.916,0.061,0.870-0.962
5,miss_rate,0.084,0.061,0.038-0.130
5,fall_out,0.084,0.061,0.038-0.130
5,false_discovery_rate,0.084,0.061,0.038-0.130
5,false_ommission_rate,0.084,0.061,0.038-0.130
5,accuracy,0.916,0.061,0.870-0.962
5,F1_score,0.916,0.061,0.870-0.962
5,odds_ratio,inf,nan,nan-nan
5,balanced_accuracy,0.916,0.061,0.870-0.962
5,threat_score,0.851,0.101,0.775-0.927
6,sensitivity,0.924,0.055,0.883-0.965
6,specificity,0.924,0.055,0.883-0.965
6,precision,0.924,0.055,0.883-0.965
6,negative_predictive_value,0.924,0.055,0.883-0.965
6,miss_rate,0.076,0.055,0.035-0.117
6,fall_out,0.076,0.055,0.035-0.117
6,false_discovery_rate,0.076,0.055,0.035-0.117
6,false_ommission_rate,0.076,0.055,0.035-0.117
6,accuracy,0.924,0.055,0.883-0.965
6,F1_score,0.924,0.055,0.883-0.965
6,odds_ratio,inf,nan,nan-nan
6,balanced_accuracy,0.924,0.055,0.883-0.965
6,threat_score,0.863,0.092,0.794-0.932
7,sensitivity,0.928,0.056,0.886-0.970
7,specificity,0.928,0.056,0.886-0.970
7,precision,0.928,0.056,0.886-0.970
7,negative_predictive_value,0.928,0.056,0.886-0.970
7,miss_rate,0.072,0.056,0.030-0.114
7,fall_out,0.072,0.056,0.030-0.114
7,false_discovery_rate,0.072,0.056,0.030-0.114
7,false_ommission_rate,0.072,0.056,0.030-0.114
7,accuracy,0.928,0.056,0.886-0.970
7,F1_score,0.928,0.056,0.886-0.970
7,odds_ratio,inf,nan,nan-nan
7,balanced_accuracy,0.928,0.056,0.886-0.970
7,threat_score,0.871,0.093,0.800-0.941
8,sensitivity,0.928,0.056,0.886-0.970
8,specificity,0.928,0.056,0.886-0.970
8,precision,0.928,0.056,0.886-0.970
8,negative_predictive_value,0.928,0.056,0.886-0.970
8,miss_rate,0.072,0.056,0.030-0.114
8,fall_out,0.072,0.056,0.030-0.114
8,false_discovery_rate,0.072,0.056,0.030-0.114
8,false_ommission_rate,0.072,0.056,0.030-0.114
8,accuracy,0.928,0.056,0.886-0.970
8,F1_score,0.928,0.056,0.886-0.970
8,odds_ratio,inf,nan,nan-nan
8,balanced_accuracy,0.928,0.056,0.886-0.970
8,threat_score,0.871,0.093,0.800-0.941
9,sensitivity,0.924,0.055,0.883-0.965
9,specificity,0.924,0.055,0.883-0.965
9,precision,0.924,0.055,0.883-0.965
9,negative_predictive_value,0.924,0.055,0.883-0.965
9,miss_rate,0.076,0.055,0.035-0.117
9,fall_out,0.076,0.055,0.035-0.117
9,false_discovery_rate,0.076,0.055,0.035-0.117
9,false_ommission_rate,0.076,0.055,0.035-0.117
9,accuracy,0.924,0.055,0.883-0.965
9,F1_score,0.924,0.055,0.883-0.965
9,odds_ratio,inf,nan,nan-nan
9,balanced_accuracy,0.924,0.055,0.883-0.965
9,threat_score,0.863,0.092,0.794-0.932
10,sensitivity,0.928,0.056,0.886-0.970
10,specificity,0.928,0.056,0.886-0.970
10,precision,0.928,0.056,0.886-0.970
10,negative_predictive_value,0.928,0.056,0.886-0.970
10,miss_rate,0.072,0.056,0.030-0.114
10,fall_out,0.072,0.056,0.030-0.114
10,false_discovery_rate,0.072,0.056,0.030-0.114
10,false_ommission_rate,0.072,0.056,0.030-0.114
10,accuracy,0.928,0.056,0.886-0.970
10,F1_score,0.928,0.056,0.886-0.970
10,odds_ratio,inf,nan,nan-nan
10,balanced_accuracy,0.928,0.056,0.886-0.970
10,threat_score,0.871,0.093,0.800-0.941
11,sensitivity,0.928,0.064,0.880-0.976
11,specificity,0.928,0.064,0.880-0.976
11,precision,0.928,0.064,0.880-0.976
11,negative_predictive_value,0.928,0.064,0.880-0.976
11,miss_rate,0.072,0.064,0.024-0.120
11,fall_out,0.072,0.064,0.024-0.120
11,false_discovery_rate,0.072,0.064,0.024-0.120
11,false_ommission_rate,0.072,0.064,0.024-0.120
11,accuracy,0.928,0.064,0.880-0.976
11,F1_score,0.928,0.064,0.880-0.976
11,odds_ratio,inf,nan,nan-nan
11,balanced_accuracy,0.928,0.064,0.880-0.976
11,threat_score,0.872,0.102,0.795-0.949
12,sensitivity,0.928,0.056,0.886-0.970
12,specificity,0.928,0.056,0.886-0.970
12,precision,0.928,0.056,0.886-0.970
12,negative_predictive_value,0.928,0.056,0.886-0.970
12,miss_rate,0.072,0.056,0.030-0.114
12,fall_out,0.072,0.056,0.030-0.114
12,false_discovery_rate,0.072,0.056,0.030-0.114
12,false_ommission_rate,0.072,0.056,0.030-0.114
12,accuracy,0.928,0.056,0.886-0.970
12,F1_score,0.928,0.056,0.886-0.970
12,odds_ratio,inf,nan,nan-nan
12,balanced_accuracy,0.928,0.056,0.886-0.970
12,threat_score,0.871,0.093,0.800-0.941
13,sensitivity,0.924,0.061,0.878-0.970
13,specificity,0.924,0.061,0.878-0.970
13,precision,0.924,0.061,0.878-0.970
13,negative_predictive_value,0.924,0.061,0.878-0.970
13,miss_rate,0.076,0.061,0.030-0.122
13,fall_out,0.076,0.061,0.030-0.122
13,false_discovery_rate,0.076,0.061,0.030-0.122
13,false_ommission_rate,0.076,0.061,0.030-0.122
13,accuracy,0.924,0.061,0.878-0.970
13,F1_score,0.924,0.061,0.878-0.970
13,odds_ratio,inf,nan,nan-nan
13,balanced_accuracy,0.924,0.061,0.878-0.970
13,threat_score,0.864,0.100,0.789-0.940
14,sensitivity,0.928,0.056,0.886-0.970
14,specificity,0.928,0.056,0.886-0.970
14,precision,0.928,0.056,0.886-0.970
14,negative_predictive_value,0.928,0.056,0.886-0.970
14,miss_rate,0.072,0.056,0.030-0.114
14,fall_out,0.072,0.056,0.030-0.114
14,false_discovery_rate,0.072,0.056,0.030-0.114
14,false_ommission_rate,0.072,0.056,0.030-0.114
14,accuracy,0.928,0.056,0.886-0.970
14,F1_score,0.928,0.056,0.886-0.970
14,odds_ratio,inf,nan,nan-nan
14,balanced_accuracy,0.928,0.056,0.886-0.970
14,threat_score,0.871,0.093,0.800-0.941
15,sensitivity,0.928,0.056,0.886-0.970
15,specificity,0.928,0.056,0.886-0.970
15,precision,0.928,0.056,0.886-0.970
15,negative_predictive_value,0.928,0.056,0.886-0.970
15,miss_rate,0.072,0.056,0.030-0.114
15,fall_out,0.072,0.056,0.030-0.114
15,false_discovery_rate,0.072,0.056,0.030-0.114
15,false_ommission_rate,0.072,0.056,0.030-0.114
15,accuracy,0.928,0.056,0.886-0.970
15,F1_score,0.928,0.056,0.886-0.970
15,odds_ratio,inf,nan,nan-nan
15,balanced_accuracy,0.928,0.056,0.886-0.970
15,threat_score,0.871,0.093,0.800-0.941
16,sensitivity,0.928,0.056,0.886-0.970
16,specificity,0.928,0.056,0.886-0.970
16,precision,0.928,0.056,0.886-0.970
16,negative_predictive_value,0.928,0.056,0.886-0.970
16,miss_rate,0.072,0.056,0.030-0.114
16,fall_out,0.072,0.056,0.030-0.114
16,false_discovery_rate,0.072,0.056,0.030-0.114
16,false_ommission_rate,0.072,0.056,0.030-0.114
16,accuracy,0.928,0.056,0.886-0.970
16,F1_score,0.928,0.056,0.886-0.970
16,odds_ratio,inf,nan,nan-nan
16,balanced_accuracy,0.928,0.056,0.886-0.970
16,threat_score,0.871,0.093,0.800-0.941
17,sensitivity,0.928,0.056,0.886-0.970
17,specificity,0.928,0.056,0.886-0.970
17,precision,0.928,0.056,0.886-0.970
17,negative_predictive_value,0.928,0.056,0.886-0.970
17,miss_rate,0.072,0.056,0.030-0.114
17,fall_out,0.072,0.056,0.030-0.114
17,false_discovery_rate,0.072,0.056,0.030-0.114
17,false_ommission_rate,0.072,0.056,0.030-0.114
17,accuracy,0.928,0.056,0.886-0.970
17,F1_score,0.928,0.056,0.886-0.970
17,odds_ratio,inf,nan,nan-nan
17,balanced_accuracy,0.928,0.056,0.886-0.970
17,threat_score,0.871,0.093,0.800-0.941
18,sensitivity,0.928,0.056,0.886-0.970
18,specificity,0.928,0.056,0.886-0.970
18,precision,0.928,0.056,0.886-0.970
18,negative_predictive_value,0.928,0.056,0.886-0.970
18,miss_rate,0.072,0.056,0.030-0.114
18,fall_out,0.072,0.056,0.030-0.114
18,false_discovery_rate,0.072,0.056,0.030-0.114
18,false_ommission_rate,0.072,0.056,0.030-0.114
18,accuracy,0.928,0.056,0.886-0.970
18,F1_score,0.928,0.056,0.886-0.970
18,odds_ratio,inf,nan,nan-nan
18,balanced_accuracy,0.928,0.056,0.886-0.970
18,threat_score,0.871,0.093,0.800-0.941
19,sensitivity,0.928,0.056,0.886-0.970
19,specificity,0.928,0.056,0.886-0.970
19,precision,0.928,0.056,0.886-0.970
19,negative_predictive_value,0.928,0.056,0.886-0.970
19,miss_rate,0.072,0.056,0.030-0.114
19,fall_out,0.072,0.056,0.030-0.114
19,false_discovery_rate,0.072,0.056,0.030-0.114
19,false_ommission_rate,0.072,0.056,0.030-0.114
19,accuracy,0.928,0.056,0.886-0.970
19,F1_score,0.928,0.056,0.886-0.970
19,odds_ratio,inf,nan,nan-nan
19,balanced_accuracy,0.928,0.056,0.886-0.970
19,threat_score,0.871,0.093,0.800-0.941
20,sensitivity,0.928,0.056,0.886-0.970
20,specificity,0.928,0.056,0.886-0.970
20,precision,0.928,0.056,0.886-0.970
20,negative_predictive_value,0.928,0.056,0.886-0.970
20,miss_rate,0.072,0.056,0.030-0.114
20,fall_out,0.072,0.056,0.030-0.114
20,false_discovery_rate,0.072,0.056,0.030-0.114
20,false_ommission_rate,0.072,0.056,0.030-0.114
20,accuracy,0.928,0.056,0.886-0.970
20,F1_score,0.928,0.056,0.886-0.970
20,odds_ratio,inf,nan,nan-nan
20,balanced_accuracy,0.928,0.056,0.886-0.970
20,threat_score,0.871,0.093,0.800-0.941
