Count,Metrics,Mean,STD,95% CI
1,F1_score,0.651,0.118,0.562-0.741
1,accuracy,0.724,0.108,0.643-0.805
1,balanced_accuracy,0.738,0.104,0.659-0.816
1,fall_out,0.229,0.077,0.171-0.287
1,false_discovery_rate,0.350,0.169,0.223-0.477
1,false_ommission_rate,0.227,0.200,0.076-0.378
1,miss_rate,0.296,0.162,0.173-0.418
1,negative_predictive_value,0.773,0.200,0.622-0.924
1,odds_ratio,inf,nan,nan-nan
1,precision,0.650,0.169,0.523-0.777
1,sensitivity,0.704,0.162,0.582-0.827
1,specificity,0.771,0.077,0.713-0.829
1,threat_score,0.494,0.126,0.399-0.589
2,F1_score,0.781,0.105,0.702-0.860
2,accuracy,0.816,0.111,0.733-0.899
2,balanced_accuracy,0.841,0.105,0.762-0.920
2,fall_out,0.141,0.075,0.084-0.197
2,false_discovery_rate,0.210,0.137,0.106-0.314
2,false_ommission_rate,0.167,0.194,0.021-0.313
2,miss_rate,0.177,0.190,0.034-0.321
2,negative_predictive_value,0.833,0.194,0.687-0.979
2,odds_ratio,inf,nan,nan-nan
2,precision,0.790,0.137,0.686-0.894
2,sensitivity,0.823,0.190,0.679-0.966
2,specificity,0.859,0.075,0.803-0.916
2,threat_score,0.653,0.141,0.546-0.759
3,F1_score,0.796,0.107,0.716-0.876
3,accuracy,0.820,0.123,0.727-0.913
3,balanced_accuracy,0.856,0.105,0.776-0.935
3,fall_out,0.123,0.072,0.069-0.177
3,false_discovery_rate,0.190,0.122,0.098-0.282
3,false_ommission_rate,0.173,0.233,-0.003-0.349
3,miss_rate,0.166,0.209,0.009-0.323
3,negative_predictive_value,0.827,0.233,0.651-1.003
3,odds_ratio,inf,nan,nan-nan
3,precision,0.810,0.122,0.718-0.902
3,sensitivity,0.834,0.209,0.677-0.991
3,specificity,0.877,0.072,0.823-0.931
3,threat_score,0.675,0.154,0.559-0.791
4,F1_score,0.809,0.110,0.727-0.892
4,accuracy,0.828,0.133,0.728-0.928
4,balanced_accuracy,0.861,0.101,0.785-0.937
4,fall_out,0.110,0.069,0.057-0.162
4,false_discovery_rate,0.170,0.110,0.087-0.253
4,false_ommission_rate,0.173,0.244,-0.011-0.358
4,miss_rate,0.169,0.199,0.020-0.319
4,negative_predictive_value,0.827,0.244,0.642-1.011
4,odds_ratio,inf,nan,nan-nan
4,precision,0.830,0.110,0.747-0.913
4,sensitivity,0.831,0.199,0.681-0.980
4,specificity,0.890,0.069,0.838-0.943
4,threat_score,0.694,0.153,0.578-0.809
5,F1_score,0.799,0.114,0.713-0.885
5,accuracy,0.820,0.135,0.718-0.922
5,balanced_accuracy,0.855,0.104,0.777-0.934
5,fall_out,0.115,0.075,0.059-0.172
5,false_discovery_rate,0.180,0.125,0.086-0.274
5,false_ommission_rate,0.180,0.250,-0.008-0.368
5,miss_rate,0.174,0.204,0.020-0.327
5,negative_predictive_value,0.820,0.250,0.632-1.008
5,odds_ratio,inf,nan,nan-nan
5,precision,0.820,0.125,0.726-0.914
5,sensitivity,0.826,0.204,0.673-0.980
5,specificity,0.885,0.075,0.828-0.941
5,threat_score,0.681,0.159,0.561-0.801
6,F1_score,0.803,0.111,0.719-0.886
6,accuracy,0.824,0.133,0.724-0.924
6,balanced_accuracy,0.859,0.099,0.785-0.934
6,fall_out,0.114,0.073,0.059-0.169
6,false_discovery_rate,0.180,0.125,0.086-0.274
6,false_ommission_rate,0.173,0.248,-0.014-0.360
6,miss_rate,0.167,0.199,0.018-0.317
6,negative_predictive_value,0.827,0.248,0.640-1.014
6,odds_ratio,inf,nan,nan-nan
6,precision,0.820,0.125,0.726-0.914
6,sensitivity,0.833,0.199,0.683-0.982
6,specificity,0.886,0.073,0.831-0.941
6,threat_score,0.684,0.155,0.567-0.802
7,F1_score,0.797,0.108,0.715-0.879
7,accuracy,0.820,0.134,0.719-0.921
7,balanced_accuracy,0.859,0.099,0.784-0.933
7,fall_out,0.119,0.075,0.063-0.176
7,false_discovery_rate,0.190,0.130,0.092-0.288
7,false_ommission_rate,0.173,0.255,-0.019-0.366
7,miss_rate,0.163,0.200,0.012-0.314
7,negative_predictive_value,0.827,0.255,0.634-1.019
7,odds_ratio,inf,nan,nan-nan
7,precision,0.810,0.130,0.712-0.908
7,sensitivity,0.837,0.200,0.686-0.988
7,specificity,0.881,0.075,0.824-0.937
7,threat_score,0.676,0.151,0.562-0.790
8,F1_score,0.802,0.109,0.720-0.885
