Count,Metrics,Mean,STD,95% CI
1,F1_score,0.820,0.037,0.792-0.848
1,accuracy,0.760,0.049,0.723-0.797
1,balanced_accuracy,0.730,0.055,0.688-0.772
1,fall_out,0.360,0.074,0.304-0.416
1,false_discovery_rate,0.180,0.037,0.152-0.208
1,false_ommission_rate,0.360,0.074,0.304-0.416
1,miss_rate,0.180,0.037,0.152-0.208
1,negative_predictive_value,0.640,0.074,0.584-0.696
1,odds_ratio,9.849,5.692,5.557-14.141
1,precision,0.820,0.037,0.792-0.848
1,sensitivity,0.820,0.037,0.792-0.848
1,specificity,0.640,0.074,0.584-0.696
1,threat_score,0.697,0.053,0.657-0.736
2,F1_score,0.876,0.045,0.842-0.910
2,accuracy,0.835,0.061,0.789-0.880
2,balanced_accuracy,0.814,0.068,0.763-0.865
2,fall_out,0.248,0.091,0.179-0.317
2,false_discovery_rate,0.124,0.045,0.090-0.158
2,false_ommission_rate,0.248,0.091,0.179-0.317
2,miss_rate,0.124,0.045,0.090-0.158
2,negative_predictive_value,0.752,0.091,0.683-0.821
2,odds_ratio,53.324,80.062,-7.047-113.695
2,precision,0.876,0.045,0.842-0.910
2,sensitivity,0.876,0.045,0.842-0.910
2,specificity,0.752,0.091,0.683-0.821
2,threat_score,0.782,0.073,0.727-0.838
3,F1_score,0.876,0.042,0.845-0.907
3,accuracy,0.835,0.056,0.793-0.877
3,balanced_accuracy,0.814,0.063,0.767-0.861
3,fall_out,0.248,0.084,0.185-0.311
3,false_discovery_rate,0.124,0.042,0.093-0.155
3,false_ommission_rate,0.248,0.084,0.185-0.311
3,miss_rate,0.124,0.042,0.093-0.155
3,negative_predictive_value,0.752,0.084,0.689-0.815
3,odds_ratio,35.100,32.231,10.796-59.403
3,precision,0.876,0.042,0.845-0.907
3,sensitivity,0.876,0.042,0.845-0.907
3,specificity,0.752,0.084,0.689-0.815
3,threat_score,0.782,0.066,0.732-0.831
4,F1_score,0.880,0.042,0.848-0.912
4,accuracy,0.840,0.056,0.798-0.882
4,balanced_accuracy,0.820,0.063,0.773-0.867
4,fall_out,0.240,0.084,0.177-0.303
4,false_discovery_rate,0.120,0.042,0.088-0.152
4,false_ommission_rate,0.240,0.084,0.177-0.303
4,miss_rate,0.120,0.042,0.088-0.152
4,negative_predictive_value,0.760,0.084,0.697-0.823
